cellphone	16.856	24.493	-1.387	
vent	5.252	37.726	-2.337	
survivor	-2.060	39.639	-2.099	
vent	23.198	82.141	-0.807	
backpack	28.918	54.346	0.472	
vent	16.852	45.652	-0.505	
fireextinguisher	18.995	6.184	-1.724	
backpack	22.218	13.219	-2.795	
cellphone	26.827	30.126	-2.403	
backpack	37.718	38.398	-3.274	
fireextinguisher	38.073	45.258	-2.194	
fireextinguisher	32.639  79.514	-3.238	
survivor	37.240	66.609	-3.193	
rope	27.037	5.672	-1.400	
backpack	49.283	-20.214	-1.630	
cellphone	41.066	22.391	-2.353	
rope	45.384	41.969	-0.802	
survivor	52.602	38.012	-3.101	
rope	58.337	78.970	-3.311	
rope	61.580	105.242	-4.192	
